score_band,count,bads,min_score,max_score,mean_score,mean_pd,observed_bad_rate,goods
1,4690,1423,426.6306209549234,544.0017831822647,514.118164766352,0.30399347669467724,0.30341151385927506,3267
2,4685,468,544.00632435549,563.1312146361437,554.1070494569958,0.09057720093650602,0.09989327641408752,4217
3,4690,251,563.143170654794,579.2593702662114,571.5295671403312,0.05149173752085021,0.0535181236673774,4439
4,4686,148,579.2608037922732,591.8557531877793,585.8032869653229,0.03190398507309679,0.03158344003414426,4538
5,4721,94,591.8567801676293,600.9313642639901,596.7064569394022,0.02201501594164579,0.019911035797500528,4627
6,4812,60,600.9411772957048,609.0465635098012,605.1799188297997,0.016494010612794287,0.012468827930174564,4752
7,4529,36,609.050132594625,617.0973892959661,612.807421449393,0.012707436612154902,0.007948774563921396,4493
8,4687,27,617.1093181215931,642.8627911360811,623.7925711145796,0.008804684322614855,0.005760614465542991,4660
