feature,coefficient,std_error,z_value,pvalue,expected_sign,passes_sign_check,passes_significance_check
const,-2.6157191655138186,0.01457791429034628,-179.43027468929407,0.0,n/a,True,True
RevolvingUtilizationOfUnsecuredLines_woe,-0.6484153854499136,0.01394156128873584,-46.509524437109086,0.0,negative,True,True
age_woe,-0.40931687597756433,0.030102053053399087,-13.59763984374962,4.135649764591982e-42,negative,True,True
NumberOfTime30-59DaysPastDueNotWorse_woe,-0.6008542399094939,0.014337659487937497,-41.907414555004756,0.0,negative,True,True
DebtRatio_woe,-1.5303130533205969,0.09769022068151843,-15.664956457715421,2.626094549347546e-55,negative,True,True
MonthlyIncome_woe,-0.3492175459052149,0.04905225768808216,-7.11929608063813,1.084796529310457e-12,negative,True,True
NumberOfTimes90DaysLate_woe,-0.5847751029313039,0.012822281067152124,-45.60616787830128,0.0,negative,True,True
NumberRealEstateLoansOrLines_woe,-0.5962022959550383,0.06117769731669112,-9.745419035122401,1.9298103748586665e-22,negative,True,True
NumberOfDependents_woe,-0.46895322703886644,0.07323308970018719,-6.4035701478489955,1.5178506833362272e-10,negative,True,True
