feature,characteristic,mean_abs_shap_log_odds,mean_shap_log_odds
RevolvingUtilizationOfUnsecuredLines_woe,RevolvingUtilizationOfUnsecuredLines,0.5702562589303204,0.021958631968668933
NumberOfTime30-59DaysPastDueNotWorse_woe,NumberOfTime30-59DaysPastDueNotWorse,0.27472336196521047,0.011682834151507901
DebtRatio_woe,DebtRatio,0.21412484694901146,0.004853102250970792
age_woe,age,0.20135586460060634,-0.00759339205972266
NumberOfTimes90DaysLate_woe,NumberOfTimes90DaysLate,0.17033858760903003,-0.0047363992475651295
NumberRealEstateLoansOrLines_woe,NumberRealEstateLoansOrLines,0.1397687954755697,0.0016403773155285913
MonthlyIncome_woe,MonthlyIncome,0.08578806196672502,-0.008075437307728046
NumberOfDependents_woe,NumberOfDependents,0.07557035312598996,0.0033841487385815536
